TITLE,DESCRIPTION,LINK,Published Date,text,new_column,polarity,subjectivity,len,new_result
"Ryanair's CEO, a huge Boeing customer and hater, thinks the planes are fine","Ordinarily, a plane’s doors coming off mid-flight is the kind of event that shakes the confidence of airline CEOs, who need customers to feel safe in order to make money. But Ryanair CEO Michael O’Leary thinks Boeing’s issues with its 737 Max 9 aircraft are a temporary problem. Read more... Read more...",https://qz.com/boeing-aircraft-737max9-ryanair-1851205461,2024-01-29 17:28:49 ,"Ryanair's CEO, a huge Boeing customer and hater, thinks the planes are fine Ordinarily, a plane’s doors coming off mid-flight is the kind of event that shakes the confidence of airline CEOs, who need customers to feel safe in order to make money. But Ryanair CEO Michael O’Leary thinks Boeing’s issues with its 737 Max 9 aircraft are a temporary problem. Read more... Read more...","Ryanair's CEO, a huge Boeing customer and hater, thinks the planes are fineOrdinarily, a plane’s doors coming off mid-flight is the kind of event that shakes the confidence of airline CEOs, who need customers to feel safe in order to make money. But Ryanair CEO Michael O’Leary thinks Boeing’s issues with its 737 Max 9 aircraft are a temporary problem. Read more... Read more...",0.2777777777777778,0.5499999999999999,258,TRAVEL
Elon Musk is losing so much money that Jeff Bezos could beat him in the billionaires' race,"Elon Musk already holds the world record for losing the most money, and the Tesla CEO has lost another $30.5 billion in the first month of 2024. At the same time, his rival in wealth, Amazon founder Jeff Bezos, has gained $7.3 billion. Jeff Bezos Read more... Read more...",https://qz.com/elon-musk-jeff-bezos-world-richest-person-tesla-stock-1851205323,2024-01-29 16:18:00 ,"Elon Musk is losing so much money that Jeff Bezos could beat him in the billionaires' race Elon Musk already holds the world record for losing the most money, and the Tesla CEO has lost another $30.5 billion in the first month of 2024. At the same time, his rival in wealth, Amazon founder Jeff Bezos, has gained $7.3 billion. Jeff Bezos Read more... Read more...","Elon Musk is losing so much money that Jeff Bezos could beat him in the billionaires' raceElon Musk already holds the world record for losing the most money, and the Tesla CEO has lost another $30.5 billion in the first month of 2024. At the same time, his rival in wealth, Amazon founder Jeff Bezos, has gained $7.3 billion. Jeff Bezos Read more... Read more...",0.225,0.26666666666666666,228,BUSINESS
From AI girlfriend chatbots to Jesus: The weirdest of OpenAI's GPT Store,"After months of waiting, OpenAI finally launched its GPT Store, where paying subscribers can now access a library of custom AI chatbots. The store promotes some practical, helpful AI tools up front, but there are some deeply strange GPTs lurking in corners of the store. Gizmodo ventured into those dark, musty corners… OpenAI launched its GPT Store practical, helpful AI tools Read more... Read more...",https://qz.com/openai-gpt-store-chatbots-1851204964,2024-01-29 15:28:58 ,"From AI girlfriend chatbots to Jesus: The weirdest of OpenAI's GPT Store After months of waiting, OpenAI finally launched its GPT Store, where paying subscribers can now access a library of custom AI chatbots. The store promotes some practical, helpful AI tools up front, but there are some deeply strange GPTs lurking in corners of the store. Gizmodo ventured into those dark, musty corners… OpenAI launched its GPT Store practical, helpful AI tools Read more... Read more...","From AI girlfriend chatbots to Jesus: The weirdest of OpenAI's GPT StoreAfter months of waiting, OpenAI finally launched its GPT Store, where paying subscribers can now access a library of custom AI chatbots. The store promotes some practical, helpful AI tools up front, but there are some deeply strange GPTs lurking in corners of the store. Gizmodo ventured into those dark, musty corners… OpenAI launched its GPT Store practical, helpful AI tools Read more... Read more...",-0.06666666666666667,0.5166666666666666,315,HOME & LIVING
How McDonald’s powers America's economy,"What keeps the wheels of the economy turning? Is it fair trade and consumer spending? No, just a whole lot of burger grease. A new report from Oxford Economics details the ways in which McDonald’s  impacts the U.S. economy, contributing as much $108 billion to the country’s gross domestic product each year. McDonald’s  impacts the U.S. economy Read more... Read more...",https://qz.com/mcdonalds-economy-impact-1851204982,2024-01-29 13:02:00 ,"How McDonald’s powers America's economy What keeps the wheels of the economy turning? Is it fair trade and consumer spending? No, just a whole lot of burger grease. A new report from Oxford Economics details the ways in which McDonald’s  impacts the U.S. economy, contributing as much $108 billion to the country’s gross domestic product each year. McDonald’s  impacts the U.S. economy Read more... Read more...","How McDonald’s powers America's economyWhat keeps the wheels of the economy turning? Is it fair trade and consumer spending? No, just a whole lot of burger grease. A new report from Oxford Economics details the ways in which McDonald’s  impacts the U.S. economy, contributing as much $108 billion to the country’s gross domestic product each year. McDonald’s  impacts the U.S. economy Read more... Read more...",0.21999999999999997,0.32,259,BUSINESS
Amazon Prime Video just got ads — and it's the end of a streaming era,"Ad-free streaming services are officially a thing of the past. Amazon injected Prime Video’s movies and TV shows with ads on Monday. The company is asking users to pay an additional $3 a month to keep Prime Video ad-free, on top of the $139 a year members already pay for Amazon Prime. movies and TV shows with ads $3 a month Read more... Read more...",https://qz.com/amazon-prime-video-ads-streaming-1851204957,2024-01-29 12:50:42 ,"Amazon Prime Video just got ads — and it's the end of a streaming era Ad-free streaming services are officially a thing of the past. Amazon injected Prime Video’s movies and TV shows with ads on Monday. The company is asking users to pay an additional $3 a month to keep Prime Video ad-free, on top of the $139 a year members already pay for Amazon Prime. movies and TV shows with ads $3 a month Read more... Read more...","Amazon Prime Video just got ads — and it's the end of a streaming eraAd-free streaming services are officially a thing of the past. Amazon injected Prime Video’s movies and TV shows with ads on Monday. The company is asking users to pay an additional $3 a month to keep Prime Video ad-free, on top of the $139 a year members already pay for Amazon Prime. movies and TV shows with ads $3 a month Read more... Read more...",0.2625,0.5875,263,TECH
T.J. Maxx and thrift stores are siphoning shoppers from full-price rivals,"Stop me if you’ve heard this one before: A shopper, a wallet, and a credit card walk into a store… Increasingly, though, they’re not walking into a store where they have to pay the price that’s on the tag. Read more... Read more...",https://qz.com/t-j-maxx-and-thrift-stores-are-siphoning-shoppers-from-1851202451,2024-01-29 10:00:00 ,"T.J. Maxx and thrift stores are siphoning shoppers from full-price rivals Stop me if you’ve heard this one before: A shopper, a wallet, and a credit card walk into a store… Increasingly, though, they’re not walking into a store where they have to pay the price that’s on the tag. Read more... Read more...","T.J. Maxx and thrift stores are siphoning shoppers from full-price rivalsStop me if you’ve heard this one before: A shopper, a wallet, and a credit card walk into a store… Increasingly, though, they’re not walking into a store where they have to pay the price that’s on the tag. Read more... Read more...",0.35,0.55,157,MONEY
New York is lapping San Francisco in the return-to-office race,The Big Apple has more successfully brought its workers back to the office than other major US cities—especially San Francisco. Read more... Read more...,https://qz.com/new-york-san-francisco-return-to-office-1851201948,2024-01-28 10:00:00 ,New York is lapping San Francisco in the return-to-office race The Big Apple has more successfully brought its workers back to the office than other major US cities—especially San Francisco. Read more... Read more...,New York is lapping San Francisco in the return-to-office raceThe Big Apple has more successfully brought its workers back to the office than other major US cities—especially San Francisco. Read more... Read more...,0.1625,0.51,138,BUSINESS
AI girlfriend chatbots won't last,Relationship chatbots are all the rage right now. Just look at the plethora of AI girlfriend bots that quickly flooded OpenAI’s GPT store after it launched earlier this month—even though they seemed to violate the new store’s rules. chatbots AI girlfriend bots that quickly flooded OpenAI’s GPT store Read more... Read more...,https://qz.com/ai-girlfriend-chatbots-openai-gpt-store-relationships-1851198193,2024-01-27 10:00:00 ,AI girlfriend chatbots won't last Relationship chatbots are all the rage right now. Just look at the plethora of AI girlfriend bots that quickly flooded OpenAI’s GPT store after it launched earlier this month—even though they seemed to violate the new store’s rules. chatbots AI girlfriend bots that quickly flooded OpenAI’s GPT store Read more... Read more...,AI girlfriend chatbots won't lastRelationship chatbots are all the rage right now. Just look at the plethora of AI girlfriend bots that quickly flooded OpenAI’s GPT store after it launched earlier this month—even though they seemed to violate the new store’s rules. chatbots AI girlfriend bots that quickly flooded OpenAI’s GPT store Read more... Read more...,0.19047619047619047,0.4204761904761905,246,WEDDINGS
"Weekend Tech Innovation Roundup January 27, 2024","Fears of robots taking over people’s jobs have been a recurring theme for centuries, and with recent advancements in AI, the anxiety has resurfaced. But fear not, humans! A new study from the Massachusetts Institute of Technology (MIT) offers a reassuring perspective: most jobs are currently too expensive to automate… for centuries anxiety has resurfaced new study  Read more... Read more...",https://qz.com/weekend-tech-innovation-roundup-january-27-2024-1851201024,2024-01-27 09:00:00 ,"Weekend Tech Innovation Roundup January 27, 2024 Fears of robots taking over people’s jobs have been a recurring theme for centuries, and with recent advancements in AI, the anxiety has resurfaced. But fear not, humans! A new study from the Massachusetts Institute of Technology (MIT) offers a reassuring perspective: most jobs are currently too expensive to automate… for centuries anxiety has resurfaced new study  Read more... Read more...","Weekend Tech Innovation Roundup January 27, 2024Fears of robots taking over people’s jobs have been a recurring theme for centuries, and with recent advancements in AI, the anxiety has resurfaced. But fear not, humans! A new study from the Massachusetts Institute of Technology (MIT) offers a reassuring perspective: most jobs are currently too expensive to automate… for centuries anxiety has resurfaced new study  Read more... Read more...",-0.25,0.475,288,BUSINESS
"Weekend Money Markets Roundup January 27, 2024","There was a whole lot of excitement around the prospect of exchange-traded bitcoin funds a couple weeks ago, when the US Securities and Exchange Commission announced that it had approved use of the investing tool. Someone even hacked the SEC’s account on the X social media platform to break the news early! But that… approved use of the investing tool hacked the SEC’s account on the X social media platform Read more... Read more...",https://qz.com/weekend-money-markets-roundup-january-27-2024-1851201022,2024-01-27 09:00:00 ,"Weekend Money Markets Roundup January 27, 2024 There was a whole lot of excitement around the prospect of exchange-traded bitcoin funds a couple weeks ago, when the US Securities and Exchange Commission announced that it had approved use of the investing tool. Someone even hacked the SEC’s account on the X social media platform to break the news early! But that… approved use of the investing tool hacked the SEC’s account on the X social media platform Read more... Read more...","Weekend Money Markets Roundup January 27, 2024There was a whole lot of excitement around the prospect of exchange-traded bitcoin funds a couple weeks ago, when the US Securities and Exchange Commission announced that it had approved use of the investing tool. Someone even hacked the SEC’s account on the X social media platform to break the news early! But that… approved use of the investing tool hacked the SEC’s account on the X social media platform Read more... Read more...",0.027777777777777776,0.33888888888888896,319,BUSINESS
"Weekend Business News Roundup January 27, 2024",Japan and Singapore enjoyed the shared distinction of having the most powerful passports in the world since 2019. But they’re not alone anymore.  having the most powerful passports in the world Read more... Read more...,https://qz.com/weekend-business-news-roundup-january-27-2024-1851201021,2024-01-27 09:00:00 ,"Weekend Business News Roundup January 27, 2024 Japan and Singapore enjoyed the shared distinction of having the most powerful passports in the world since 2019. But they’re not alone anymore.  having the most powerful passports in the world Read more... Read more...","Weekend Business News Roundup January 27, 2024Japan and Singapore enjoyed the shared distinction of having the most powerful passports in the world since 2019. But they’re not alone anymore.  having the most powerful passports in the world Read more... Read more...",0.3333333333333333,0.8333333333333334,152,QUEER VOICES
AmEx members expensed $100 billion at restaurants last year,"They might not be flying as much, and they might be a skosh late on their bills, but American Express customers sure do love to eat. For the first time in 2023, they expensed more than $100 billion at restaurants around the world. Read more... Read more...",https://qz.com/amex-members-expensed-100-billion-restaurants-2023-1851202356,2024-01-26 21:43:00 ,"AmEx members expensed $100 billion at restaurants last year They might not be flying as much, and they might be a skosh late on their bills, but American Express customers sure do love to eat. For the first time in 2023, they expensed more than $100 billion at restaurants around the world. Read more... Read more...","AmEx members expensed $100 billion at restaurants last yearThey might not be flying as much, and they might be a skosh late on their bills, but American Express customers sure do love to eat. For the first time in 2023, they expensed more than $100 billion at restaurants around the world. Read more... Read more...",0.24375,0.4486111111111111,185,BUSINESS
"Big Tech's investments in AI has regulators asking Microsoft, Amazon, and Google some questions","It was only a matter of time before the US Federal Trade Commission (FTC), which regulates competition, decided to investigate big tech’s partnerships with AI companies. The agency is looking specifically at three separate multi-billion-dollar investments, including Microsoft and OpenAI, Amazon and Anthropic, and… nvestigate big tech’s partnerships with AI companies Read more... Read more...",https://qz.com/microsoft-amazon-google-ai-investments-ftc-1851202060,2024-01-26 21:40:00 ,"Big Tech's investments in AI has regulators asking Microsoft, Amazon, and Google some questions It was only a matter of time before the US Federal Trade Commission (FTC), which regulates competition, decided to investigate big tech’s partnerships with AI companies. The agency is looking specifically at three separate multi-billion-dollar investments, including Microsoft and OpenAI, Amazon and Anthropic, and… nvestigate big tech’s partnerships with AI companies Read more... Read more...","Big Tech's investments in AI has regulators asking Microsoft, Amazon, and Google some questionsIt was only a matter of time before the US Federal Trade Commission (FTC), which regulates competition, decided to investigate big tech’s partnerships with AI companies. The agency is looking specifically at three separate multi-billion-dollar investments, including Microsoft and OpenAI, Amazon and Anthropic, and… nvestigate big tech’s partnerships with AI companies Read more... Read more...",0.0,0.10000000000000002,341,BUSINESS
"Microsoft, Google, Salesforce, and more: 2024 starts with tech layoffs already set to surpass last year","There have been more than 24,000 layoffs in the tech industry in just the first few weeks of 2024. The total number of job cuts doubled this week alone, squashing hopes for an end to last year’s doom and gloom in tech. more than 24,000 layoffs in the tech industry  job cuts doubled this week alone last year’s doom and gloom in tech Read more... Read more...",https://qz.com/google-amazon-apple-tech-layoffs-1851173569,2024-01-26 19:37:00 ,"Microsoft, Google, Salesforce, and more: 2024 starts with tech layoffs already set to surpass last year There have been more than 24,000 layoffs in the tech industry in just the first few weeks of 2024. The total number of job cuts doubled this week alone, squashing hopes for an end to last year’s doom and gloom in tech. more than 24,000 layoffs in the tech industry  job cuts doubled this week alone last year’s doom and gloom in tech Read more... Read more...","Microsoft, Google, Salesforce, and more: 2024 starts with tech layoffs already set to surpass last yearThere have been more than 24,000 layoffs in the tech industry in just the first few weeks of 2024. The total number of job cuts doubled this week alone, squashing hopes for an end to last year’s doom and gloom in tech. more than 24,000 layoffs in the tech industry  job cuts doubled this week alone last year’s doom and gloom in tech Read more... Read more...",-0.0018518518518518515,0.1722222222222222,274,TECH
Biden's natural gas export pause adds to his mixed climate record,"The Biden Administration is trying to have its cake and eat it too when it comes to fossil fuels and climate policy. The White House announced Friday (Jan. 26) that it was going to pause all pending approvals of natural gas export facility projects, including Calcasieu Pass 2 facility in Louisiana, which would have… White House announced Friday Read more... Read more...",https://qz.com/biden-pause-biggest-natural-gas-export-project-1851201347,2024-01-26 19:24:00 ,"Biden's natural gas export pause adds to his mixed climate record The Biden Administration is trying to have its cake and eat it too when it comes to fossil fuels and climate policy. The White House announced Friday (Jan. 26) that it was going to pause all pending approvals of natural gas export facility projects, including Calcasieu Pass 2 facility in Louisiana, which would have… White House announced Friday Read more... Read more...","Biden's natural gas export pause adds to his mixed climate recordThe Biden Administration is trying to have its cake and eat it too when it comes to fossil fuels and climate policy. The White House announced Friday (Jan. 26) that it was going to pause all pending approvals of natural gas export facility projects, including Calcasieu Pass 2 facility in Louisiana, which would have… White House announced Friday Read more... Read more...",0.05,0.2,298,POLITICS
"Southwest, American, and Delta are feeling the impacts of Boeing's troubles","It’s not just United Airlines and Alaska Airlines that were impacted by the grounding of Boeing’s 737 Max 9s. Delta, Southwest, and American have taken a gut punch, too. United Airlines impacted grounding of Boeing’s 737 Max 9s Read more... Read more...",https://qz.com/southwest-american-and-delta-feel-the-impacts-of-boei-1851200829,2024-01-26 17:53:00 ,"Southwest, American, and Delta are feeling the impacts of Boeing's troubles It’s not just United Airlines and Alaska Airlines that were impacted by the grounding of Boeing’s 737 Max 9s. Delta, Southwest, and American have taken a gut punch, too. United Airlines impacted grounding of Boeing’s 737 Max 9s Read more... Read more...","Southwest, American, and Delta are feeling the impacts of Boeing's troublesIt’s not just United Airlines and Alaska Airlines that were impacted by the grounding of Boeing’s 737 Max 9s. Delta, Southwest, and American have taken a gut punch, too. United Airlines impacted grounding of Boeing’s 737 Max 9s Read more... Read more...",-0.06666666666666667,0.06666666666666667,198,TRAVEL
Elon Musk's AI startup is reportedly looking to raise up to $6 billion,"Looks like Elon Musk is trying to mount a challenge to OpenAI—with some serious funding behind it. His competitor xAI is reportedly in talks to raise up to $6 billion at a proposed valuation of $20 billion, the Financial Times reported on Friday (Jan. 26). reported on Friday Read more... Read more...",https://qz.com/elon-musks-ai-startup-is-reportedly-looking-to-raise-up-1851200609,2024-01-26 16:54:00 ,"Elon Musk's AI startup is reportedly looking to raise up to $6 billion Looks like Elon Musk is trying to mount a challenge to OpenAI—with some serious funding behind it. His competitor xAI is reportedly in talks to raise up to $6 billion at a proposed valuation of $20 billion, the Financial Times reported on Friday (Jan. 26). reported on Friday Read more... Read more...","Elon Musk's AI startup is reportedly looking to raise up to $6 billionLooks like Elon Musk is trying to mount a challenge to OpenAI—with some serious funding behind it. His competitor xAI is reportedly in talks to raise up to $6 billion at a proposed valuation of $20 billion, the Financial Times reported on Friday (Jan. 26). reported on Friday Read more... Read more...",-0.24444444444444446,0.45555555555555555,238,BUSINESS
🌎 Is 2024 the year of tech layoffs?,"Good morning, Quartz readers! Read more... Read more...",https://qz.com/emails/daily-brief/1851199044/is-2024-the-year-of-tech-layoffs,2024-01-26 13:06:00 ,"🌎 Is 2024 the year of tech layoffs? Good morning, Quartz readers! Read more... Read more...","🌎 Is 2024 the year of tech layoffs?Good morning, Quartz readers! Read more... Read more...",0.7,0.6000000000000001,55,MEDIA
Europe's economic security plan needs to play both defense and offense,"The European Union this week published a raft of proposals aimed at bolstering the bloc’s economic security, including how to better scrutinize inbound investments, monitor risks associated with outbound investments,  and regulate exports of sensitive technologies.  published a raft of proposals Read more... Read more...",https://qz.com/europe-china-economic-security-1851199793,2024-01-26 10:01:00 ,"Europe's economic security plan needs to play both defense and offense The European Union this week published a raft of proposals aimed at bolstering the bloc’s economic security, including how to better scrutinize inbound investments, monitor risks associated with outbound investments,  and regulate exports of sensitive technologies.  published a raft of proposals Read more... Read more...","Europe's economic security plan needs to play both defense and offenseThe European Union this week published a raft of proposals aimed at bolstering the bloc’s economic security, including how to better scrutinize inbound investments, monitor risks associated with outbound investments,  and regulate exports of sensitive technologies.  published a raft of proposals Read more... Read more...",0.2,0.36,296,BUSINESS
Sephora tweens are giving LVMH's profits a nice glow,Everyone’s been talking about the Sephora tweens: Young customers who flock to the beauty store in search of pricey skincare products to rejuvenate faces too young to register the wear and tear of life. Some people are scared of them. Some are scared for them. Some would like to remind horrified onlookers that they… scared of them scared for them they… Read more... Read more...,https://qz.com/sephora-tweens-lvmh-profits-boost-1851198488,2024-01-25 22:20:00 ,Sephora tweens are giving LVMH's profits a nice glow Everyone’s been talking about the Sephora tweens: Young customers who flock to the beauty store in search of pricey skincare products to rejuvenate faces too young to register the wear and tear of life. Some people are scared of them. Some are scared for them. Some would like to remind horrified onlookers that they… scared of them scared for them they… Read more... Read more...,Sephora tweens are giving LVMH's profits a nice glowEveryone’s been talking about the Sephora tweens: Young customers who flock to the beauty store in search of pricey skincare products to rejuvenate faces too young to register the wear and tear of life. Some people are scared of them. Some are scared for them. Some would like to remind horrified onlookers that they… scared of them scared for them they… Read more... Read more...,0.26666666666666666,0.6,257,STYLE & BEAUTY
Tech layoffs are already on pace to surpass last year after another brutal week, Read more... Read more...,https://qz.com/tech-layoffs-might-surpass-2023-1851198088,2024-01-25 21:46:48 ,Tech layoffs are already on pace to surpass last year after another brutal week  Read more... Read more...,Tech layoffs are already on pace to surpass last year after another brutal week Read more... Read more...,-0.4375,0.5333333333333333,73,POLITICS
The Fed hasn't killed the economy yet,"Lots of people would love it if the Federal Reserve cut interest rates soon. Investors want cheaper money. Homeowners want cheaper mortgages. Consumers want cheaper credit card bills. And for a while, there was a lot of pressure on the Fed to give them what they wanted out of fears that holding rates too high would dam… a lot of pressure dam… Read more... Read more...",https://qz.com/fed-interest-rate-cuts-not-coming-soon-1851197420,2024-01-25 19:44:00 ,"The Fed hasn't killed the economy yet Lots of people would love it if the Federal Reserve cut interest rates soon. Investors want cheaper money. Homeowners want cheaper mortgages. Consumers want cheaper credit card bills. And for a while, there was a lot of pressure on the Fed to give them what they wanted out of fears that holding rates too high would dam… a lot of pressure dam… Read more... Read more...","The Fed hasn't killed the economy yetLots of people would love it if the Federal Reserve cut interest rates soon. Investors want cheaper money. Homeowners want cheaper mortgages. Consumers want cheaper credit card bills. And for a while, there was a lot of pressure on the Fed to give them what they wanted out of fears that holding rates too high would dam… a lot of pressure dam… Read more... Read more...",0.33,0.57,273,MONEY
Americans are shopping their way to a stronger economy,The economy is still humming!  Read more... Read more...,https://qz.com/shopping-is-driving-us-economy-1851196614,2024-01-25 17:48:00 ,Americans are shopping their way to a stronger economy The economy is still humming!  Read more... Read more...,Americans are shopping their way to a stronger economyThe economy is still humming!  Read more... Read more...,0.0,0.0,63,BUSINESS
How to find a new job and make more money | Your Wallet,Read more... Read more...,https://qz.com/how-to-find-a-new-job-and-make-more-money-your-wallet-1851197222,2024-01-25 17:39:27 ,How to find a new job and make more money | Your Wallet Read more... Read more...,How to find a new job and make more money | Your WalletRead more... Read more...,0.0,0.0,31,MONEY
Tesla’s time in the sun is over as EV imports are soaring,"In a shareholder letter Wednesday (Jan. 25), Tesla said that vehicle volume growth may be “notably lower” than the rate from a year ago. letter Wednesday Read more... Read more...",https://qz.com/tesla-outlook-ev-import-soar-1851196877,2024-01-25 17:27:00 ,"Tesla’s time in the sun is over as EV imports are soaring In a shareholder letter Wednesday (Jan. 25), Tesla said that vehicle volume growth may be “notably lower” than the rate from a year ago. letter Wednesday Read more... Read more...","Tesla’s time in the sun is over as EV imports are soaringIn a shareholder letter Wednesday (Jan. 25), Tesla said that vehicle volume growth may be “notably lower” than the rate from a year ago. letter Wednesday Read more... Read more...",0.5,0.5,141,BUSINESS
🚀 Space Business: A lunar new year,"We’ll be taking a break from Space Business for a bit! In the meantime, keep your eyes on the skies (and if you want more Quartz in your inbox, check out our other newsletters)! check out our other newsletters Read more... Read more...",https://qz.com/emails/space-business/1851194792/space-business-a-lunar-new-year,2024-01-25 15:59:00 ,"🚀 Space Business: A lunar new year We’ll be taking a break from Space Business for a bit! In the meantime, keep your eyes on the skies (and if you want more Quartz in your inbox, check out our other newsletters)! check out our other newsletters Read more... Read more...","🚀 Space Business: A lunar new yearWe’ll be taking a break from Space Business for a bit! In the meantime, keep your eyes on the skies (and if you want more Quartz in your inbox, check out our other newsletters)! check out our other newsletters Read more... Read more...",0.0,0.0,142,BUSINESS
United and Alaska Airlines' Boeing 737 Max 9 planes will return to the air,The US Federal Aviation Administration said grounded Boeing 737 Max 9 airplanes will be cleared to return to the skies after it does an inspection and maintenance check. Read more... Read more...,https://qz.com/737-max-9-united-alaska-return-to-air-1851196101,2024-01-25 15:07:00 ,United and Alaska Airlines' Boeing 737 Max 9 planes will return to the air The US Federal Aviation Administration said grounded Boeing 737 Max 9 airplanes will be cleared to return to the skies after it does an inspection and maintenance check. Read more... Read more...,United and Alaska Airlines' Boeing 737 Max 9 planes will return to the airThe US Federal Aviation Administration said grounded Boeing 737 Max 9 airplanes will be cleared to return to the skies after it does an inspection and maintenance check. Read more... Read more...,0.10000000000000002,0.3833333333333333,164,U.S. NEWS
Subway made a big investment in new meat slicers and it's not looking good,"When Subway announced last year that it would be removing pre-sliced meat from its assembly line and adding automatic deli slicers to its more than 20,000 locations, the intention was to improve the chain’s overall sandwich quality. Just six months after this systemwide change, however, Restaurant Business reports Subw… adding automatic deli slicers Subw… Read more... Read more...",https://qz.com/subway-meat-slicers-1851195872,2024-01-25 13:42:00 ,"Subway made a big investment in new meat slicers and it's not looking good When Subway announced last year that it would be removing pre-sliced meat from its assembly line and adding automatic deli slicers to its more than 20,000 locations, the intention was to improve the chain’s overall sandwich quality. Just six months after this systemwide change, however, Restaurant Business reports Subw… adding automatic deli slicers Subw… Read more... Read more...","Subway made a big investment in new meat slicers and it's not looking goodWhen Subway announced last year that it would be removing pre-sliced meat from its assembly line and adding automatic deli slicers to its more than 20,000 locations, the intention was to improve the chain’s overall sandwich quality. Just six months after this systemwide change, however, Restaurant Business reports Subw… adding automatic deli slicers Subw… Read more... Read more...",0.175,0.19166666666666668,309,FOOD & DRINK
Huge market headwinds made house flipper profits less gigantic last year,"A lot of people don’t want to sell their houses because their interest rates are too good and they’re scared they won’t be able to afford something better. A lot of people can’t buy a house because interest rates are too high and they can’t afford anything at all. So when transactions do happen—in 2023, existing US… Read more... Read more...",https://qz.com/selling-houses-less-profitable-2023-1851194261,2024-01-25 05:00:00 ,"Huge market headwinds made house flipper profits less gigantic last year A lot of people don’t want to sell their houses because their interest rates are too good and they’re scared they won’t be able to afford something better. A lot of people can’t buy a house because interest rates are too high and they can’t afford anything at all. So when transactions do happen—in 2023, existing US… Read more... Read more...","Huge market headwinds made house flipper profits less gigantic last yearA lot of people don’t want to sell their houses because their interest rates are too good and they’re scared they won’t be able to afford something better. A lot of people can’t buy a house because interest rates are too high and they can’t afford anything at all. So when transactions do happen—in 2023, existing US… Read more... Read more...",0.29904761904761906,0.47119047619047627,236,BUSINESS
2024's most powerful passports ranked,Japan and Singapore enjoyed the shared distinction of having the most powerful passports in the world since 2019. But they’re not alone anymore.  having the most powerful passports in the world Read more... Read more...,https://qz.com/most-powerful-passports-2024-world-rankings-1851177985,2024-01-24 21:28:31 ,2024's most powerful passports ranked Japan and Singapore enjoyed the shared distinction of having the most powerful passports in the world since 2019. But they’re not alone anymore.  having the most powerful passports in the world Read more... Read more...,2024's most powerful passports rankedJapan and Singapore enjoyed the shared distinction of having the most powerful passports in the world since 2019. But they’re not alone anymore.  having the most powerful passports in the world Read more... Read more...,0.1,0.8800000000000001,143,QUEER VOICES
Tesla has been a tech stock stinker as Microsoft joins Apple in the $3 trillion club,"At the top of the year, the Wall Street Journal let the world know about the “Magnificent Seven,” a basket of tech stocks that traders were hyping up for the high profits amid a period of economic uncertainty.  let the world know Read more... Read more...",https://qz.com/tesla-stock-down-magnificent-seven-microsoft-apple-1851194022,2024-01-24 21:23:00 ,"Tesla has been a tech stock stinker as Microsoft joins Apple in the $3 trillion club At the top of the year, the Wall Street Journal let the world know about the “Magnificent Seven,” a basket of tech stocks that traders were hyping up for the high profits amid a period of economic uncertainty.  let the world know Read more... Read more...","Tesla has been a tech stock stinker as Microsoft joins Apple in the $3 trillion clubAt the top of the year, the Wall Street Journal let the world know about the “Magnificent Seven,” a basket of tech stocks that traders were hyping up for the high profits amid a period of economic uncertainty.  let the world know Read more... Read more...",0.27199999999999996,0.5680000000000001,222,BUSINESS
Shah Rukh Khan: The king of cinema is back,Back with a bang Read more... Read more...,https://qz.com/emails/quartz-obsession/1851193320/shah-rukh-khan-the-king-of-cinema-is-back,2024-01-24 21:08:00 ,Shah Rukh Khan: The king of cinema is back Back with a bang Read more... Read more...,Shah Rukh Khan: The king of cinema is backBack with a bang Read more... Read more...,0.0,0.0,51,BLACK VOICES
Netflix password-sharing crackdown and price hikes will drive revenue 'for years',"Netflix’s password-sharing crackdown—which the company more affectionately calls “paid sharing,” “the right nudge at the right time”—not only paid off immediately after the company implemented it last May, but even more so in the months that followed. password-sharing crackdown Read more... Read more...",https://qz.com/netflix-password-sharing-crackdown-and-price-hikes-are-1851193478,2024-01-24 20:10:00 ,"Netflix password-sharing crackdown and price hikes will drive revenue 'for years' Netflix’s password-sharing crackdown—which the company more affectionately calls “paid sharing,” “the right nudge at the right time”—not only paid off immediately after the company implemented it last May, but even more so in the months that followed. password-sharing crackdown Read more... Read more...","Netflix password-sharing crackdown and price hikes will drive revenue 'for years'Netflix’s password-sharing crackdown—which the company more affectionately calls “paid sharing,” “the right nudge at the right time”—not only paid off immediately after the company implemented it last May, but even more so in the months that followed. password-sharing crackdown Read more... Read more...",0.19047619047619047,0.37936507936507935,249,TECH
